Name	Type	Description	Price
Heal Powder	Medical	Removes all Status Effects from a Poke. Tastes Bad.	300
Energy Powder	Medical	Heals 3 wounds. Tastes Bad	500
Energy Root	Medical	Heals 6 wounds. Tastes Bad	1200
Revival Herb	Medical	Revives a feinted Poke And heals all their wounds and Strain. Tastes Bad.	2800
Potion	Medical	Heals 1 wound. 	300
Super Potion	Medical	Heals 3 wounds.	700
Hyper Potion	Medical	Heals 10 wounds. 	1500
Max Potion	Medical	All HP	2500
Full Restore	Medical	All HP and non-volatile Status Effects	3000
Antidote	Medical	Removes Poison from a Poke. 	200
Awakening	Medical	Removes Sleep from a Poke. 	250
Burn Heal	Medical	Removes Burn from a Poke. 	300
Ice heal	Medical	Removes Frozen from a Poke. 	250
Paralyze Heal	Medical	Removes Paralysis from a Poke. 	300
Full Heal	Medical	Removes all Status Effects from a Poke. 	600
Revive	Medical	Revives feinted Poke and heals Wounds and strain down to half their threshold rounded up.	2000
Max Revive	Medical	Revives a feinted Poke And heals all their wounds and Strain. Tastes Bad.	5000
Ether	Medical	Restore 10 PP to 1 Move	1500
Max Ether	Medical	Restore all PP to 1 Move	4500
Sweet Apple	Evolution	Evolves Applin	2200
Tart Apple	Evolution	Evolves Applin	2200
Chipped Pot	Evolution	Evolves Sinistra	3000
Cracked Pot	Evolution	Evolves Sinistra	3000
Fire Stone	Evolution	Evolves Poke into Fire variant if availble	5000
Liquid Stone	Evolution	Evolves Poke into Water variant if availble	5000
Leaf Stone	Evolution	Evolves Poke into Grass variant if availble	5000
Dusk Stone	Evolution	Evolves Poke into Dark variant if availble	5000
Refiner Stone	Evolution	Evolves Poke into Steel variant if availble	5000
Sand Stone	Evolution	Evolves Poke into Ground variant if availble	5000
Moon Stone	Evolution	Evolves Poke into Rock variant if availble	5000
Sun Stone	Evolution	Evolves Poke into Psychic variant if availble	5000
Feather Stone	Evolution	Evolves Poke into Flying variant if availble	5000
Metamophasis Stone	Evolution	Evolves Poke into Bug variant if availble	5000
Thunder Stone	Evolution	Evolves Poke into Electric variant if availble	5000
ShinyStone	Evolution	Evolves Poke into Normal variant if availble	5000
Reaper Stone	Evolution	Evolves Poke into Ghost variant if availble	5000
Dragon Stone	Evolution	Evolves Poke into Dragon variant if availble	5000
Pixy Stone	Evolution	Evolves Poke into Fairy variant if availble	5000
Frozen Stone	Evolution	Evolves Poke into Ice variant if availble	5000
Knuckle Stone	Evolution	Evolves Poke into Fighting variant if availble	5000
Polluted Stone	Evolution	Evolves Poke into Poison variant if availble	5000
Alolan Sand	Evolution	Evolves Poke into Alolan variant if availble	5000
Galarain Reath	Evolution	Evolves Poke into Galarian variant if availble	5000
Hisuian Stone	Evolution	Evolves Poke into Hisuian variant if availble	5000
Tera Stone	Evolution	Evolves Poke into Paldean variant if availble	5000
Cheri Berry	Berry	Removes Paralysis	120
Chesto Berry	Berry	Removes Sleep	120
Petcha Berry	Berry	Removes Poison	120
Rawst Berry	Berry	Removes Burn	120
Aspear Berry	Berry	Removes Freeze	120
Leppa Berry	Berry	Restores 10 PP	800
Oran Berry	Berry	Heals 1 wound	80
Persim Berry	Berry	Removes Confusion	120
Lum Berry	Berry	Removes non-volatile Status Effects	300
Sitrus Berry	Berry	Heals 4 wounds	800
Razz Berry	Berry	Lowers the difficulty of capture attemps made against you	500
Occa Berry	Berry	Halves the damage of a Fire Type move	200
Pasho Berry	Berry	Halves the damage of a Water Type move	200
Wacan Berry	Berry	Halves the damage of a Electric Type move	200
Rindo Berry	Berry	Halves the damage of a Grass Type move	200
Yeche Berry	Berry	Halves the damage of a Ice Type move	200
Chople Berry	Berry	Halves the damage of a Fighting Type move	200
Kebia Berry	Berry	Halves the damage of a Poison Type move	200
Shuca Berry	Berry	Halves the damage of a Ground Type move	200
Coba Berry	Berry	Halves the damage of a Flying Type move	200
Payapa Berry	Berry	Halves the damage of a Psychic Type move	200
Tanga Berry	Berry	Halves the damage of a Bug Type move	200
Charti Berry	Berry	Halves the damage of a Rock Type move	200
Kasib Berry	Berry	Halves the damage of a Ghost Type move	200
Haban Berry	Berry	Halves the damage of a Dragon Type move	200
Colbur Berry	Berry	Halves the damage of a Dark Type move	200
Babiri Berry	Berry	Halves the damage of a Steel Type move	200
Chilan Berry	Berry	Halves the damage of a Normal Type move	200
Wepear Berry	Berry	Halves the damage of a Fairy Type move	200
Enigma Berry	Berry	Add 4 Soak if hit by a move you are weak against	1500
Mental Herb	Berry	Removes 1 condition	10000
Power Herb	Berry	Gain Prepared condition	30000
White Herb	Berry	Restore Stats to base	20000
Ability Shield	Held Item	Holder cannot have their abilities changed other Pokes	20000
Absorb Bulb	Held Item	Once per battle if the holder is hit by a Water type move Wax 1	5000
Cell Battery	Held Item	Once per battle if the holder is hit by a Electric type move Hone 1	5000
Luminous Moss	Held Item	Once per battle if the holder is hit by a Water type move Encourage 1	5000
Snow Ball	Held Item	Once per battle if the holder is hit by a Ice type move Hone 1	5000
Air Balloon	Held Item	Holder is Airborn until hit by a damaging Move	15000
Amulet Coin	Held Item	Doubles the money gained from trainer battles is doubled if the holder is used in the battle	30000
Assault Vest	Held Item	At the begining of battle the holder gains Encourage 2 but they can no longer use non-damaging Moves	50000
Think Club	Held Item	At the begining of battle the holder gains Hone 1 or Hone 2 if the are Cubone	4000
Big Root	Held Item	When the holder recovers wounds from a Move they recover 1 additional	10000
Binding Band	Held Item	The DOT condition applied by the holder deal an aditional Wound	20000
Grip Claw	Held Item	The holders Moves with the Dot Property gain an additional rank	10000
Black Belt	Held Item	The holders Flighting Type Moves have their base damage increased by 1	3000
Black Glasses	Held Item	The holders Dark Type Moves have their base damage increased by 1	3000
Charcoal	Held Item	The holders Fire Type Moves have their base damage increased by 1	3000
Dragon Fang	Held Item	The holders Dragon Type Moves have their base damage increased by 1	3000
Soft Sand	Held Item	The holders Ground Type Moves have their base damage increased by 1	3000
Hard Stone	Held Item	The holders Rock Type Moves have their base damage increased by 1	3000
Never Melt Ice	Held Item	The holders Ice Type Moves have their base damage increased by 1	3000
Silver Poweder	Held Item	The holders Bug Type Moves have their base damage increased by 1	3000
Magnet	Held Item	The holders Electric Type Moves have their base damage increased by 1	3000
Miracle Seed	Held Item	The holders Grass Type Moves have their base damage increased by 1	3000
Metal Coat	Held Item	The holders Steel Type Moves have their base damage increased by 1	3000
Twisted Spoon	Held Item	The holders Psychic Type Moves have their base damage increased by 1	3000
Mystic Water	Held Item	The holders Water Type Moves have their base damage increased by 1	3000
Silk Scarf	Held Item	The holders Normal Type Moves have their base damage increased by 1	3000
Pixy Dust	Held Item	The holders Fairy Type Moves have their base damage increased by 1	3000
Poision Barb	Held Item	The holders Poison Type Moves have their base damage increased by 1	3000
Sharp Beak	Held Item	The holders Flying Type Moves have their base damage increased by 1	3000
Spell tag	Held Item	The holders Ghost Type Moves have their base damage increased by 1	3000
Muscle Band	Held Item	The holders Brawl Moves have their base damage increased by 1	8000
Wise Glasses	Held Item	The holders Arcane Moves have their base damage increased by 1	8000
Black Sludge	Held Item	At the begining of each turn, if the Holder is Poison Type they Heal 1 wound. Otherwise they recieve 1 wound.	10000
Blunder Policy	Held Item	If the holders Move check fails and the Move had the inaccurate quality the holder gains Haste 2	30000
Weakness Policy	Held Item	When the holder suffers wounds from a Move it has weakness to Hone 2 and Wax 2	50000
Bright Powder	Held Item	The holder gains Armored	30000
Choice Band	Held Item	The first Move used by the holder has its base damge increased by 3 and gains the Locked In Property for the rest of the battle	100000
Choice Scarf	Held Item	At the beginning of battle the holder gains Haste 2 and the first their first Move used gains the Locked In Property for the rest of the battle	100000
Choice Specs	Held Item	At the beginning of battle the holder gains Wax 2 and the first their first Move used gains the Locked In Property for the rest of the battle	100000
Clear Amulet	Held Item	The holder is immune to Slow, Dull, Wane, Erode, and Discourage properties from sources other than itself	30000
Covert Cloak	Held Item	The holder is immune to all Properties from sources other than itself	20000
Damp Rock	Held Item	If the holder would cause Rain it becomes Heavy Rain instead	8000
Heat Rock	Held Item	If the holder would cause Harsh Sunlight it becomes Extremly Harsh Sunlight instead	8000
Icy Rock	Held Item	If the holder would cause Hail it becomes Hail Storm instead	8000
Smooth Rock	Held Item	If the holder would cause Sandstorm it becomes Dust Devil instead	8000
Terrain Extender	Held Item	Upgrade the difficulty to remove Battlefild Effects made by the holder	15000
Destiny Knot	Held Item	If the holder becomes Infatuated the Poke that caused it is also gains Infatuated	20000
Eject Button	Held Item	Once per battle when the holder recieves wounds from a Move with a range of engaged their trainer may take the switch action.	30000
Eject Pack	Held Item	Once per battle when the holder would be subject to Slow, Dull, Wane, Erode, or Discourage properties their trainer may take the switch action. If they do do not apply any Properties from the triggering source.	30000
Electric Seed	Held Item	If the battlefield gains Electric Terrain the Holder gains Fortify 1	20000
Grassy Seed	Held Item	If the battlefield gains Grassy Terrain the Holder gains Fortify 1	20000
Misty Seed	Held Item	If the battlefield gains Misty Terrain the Holder gains Encourage 1	20000
Psychic Seed	Held Item	If the battlefield gains Psychic Terrain the Holder gains Encourage 1	20000
Eviolite	Held Item	If the holder has the evolution Talent in their active Specailization increase their Defense and Special Defense by 2	50000
Expert Belt	Held Item	Moves used by the holder have their base damage increased by 1 if their targe is weak to the Moves Type.	30000
Flame Orb	Held Item	Holder gains the Burned Status Effect at the end of each of their turns	15000
Toxic Orb	Held Item	Holder gains the Poisoned 2 Status Effect at the end of each of their turns	15000
Life Orb	Held Item	Holders moves have their damage increased by 1 but sufferes 1 wound at the end of their turn	50000
Float Stone	Held Item	Halves the holders weight	10000
Focus Band	Held Item	If the holders wounds exceed their wound treshold by 2 or less, they do not feint untill after their next turn or they take another wound which ever happens first.	10000
Focus Sash	Held Item	The Holder cannot take more wounds than their Wound Threshold from a single Move	50000
Lagging Tail	Held Item	The holder always acts last each round. If multple Pokes hold this item the roll initutive normally but all others go before them.	20000
Heavy-Duty Boots	Held Item	The holder is immune to Terrain and Entry Hazzards	20000
Iron Ball	Held Item	At the begining of battle the holder gains Slow 2 and is gounded as long as they hold it.	20000
Kings Rock	Held Item	The holders damaging Moves gain the Flinch Property	10000
Leek	Held Item	Holder gains advantage on all move checks or two advantage if holder is Farfetch'd	200
Lucky Punch	Held Item	Holder gains advantage on all move checks or two advantage if holder is Chansey	200
Razor Claw	Held Item	Holder gains two advantage on all move checks	15000
Scope Lens	Held Item	Holder gains two advantage on all move checks	15000
Leftovers	Held Item	Holder heals 1 wound at the end of each of their turns	20000
Loaded Dice	Held Item	Moves the holder uses with the linked property gain 2 free activations of the quality and have the rank of the quality increase by 1	20000
Lucky Egg	Held Item	Holder gains an addional 5xp after each battle they participate in	10000
Metronome	Held Item	After the holder makes a Move check add 1 base damage to the Move that was used and removes the bonus gratnted by this item to all the holders other Moves	15000
Mirror Herb	Held Item	Once per battle the holder can copy a stat increase used by an opponent	30000
Protective Pads	Held Item	Holder does not trigger effects that require an enemy to attack in engaged range	15000
Punching Gloves	Held Item	Moves the holder uses with Punch in the name have their base damage increased by 1	15000
Quick Claw	Held Item	Once per battle the holder can add the Quickness Property to a Move	8000
Razor Fang	Held Item	Add Flinch Property to all the holders Moves	2200
Red Card	Held Item	Once per battle when the holder suffers wounds from an enemy that enemy must be swapped out if possible	30000
Ring target	Held Item	Holder looses any immunities	10000
Rocky Helmet	Held Item	When holder recives wounds from a Move with Range of engaged the user also suffers 1 wound	50000
Room Service	Held Item	When the holder is subject to Trick Room Slow 1 befor the effect of Trick Room	20000
Safety Goggles	Held Item	Holder does not take damage from Sandstorm and Is immune to Properties of Spore and Powder Moves	20000
Shed Shell	Held Item	Holder is immune to Properties activated by swapping	20000
Shell Bell	Held Item	When the holder inflicts wounds they heal 2 wounds	20000
Sticky Barb	Held Item	Holder suffers 1 wound at the end of each round. Is the holder is hit by a Move with range of engaged sticky barb is taken from the holder.	10000
Throat Spray	Held Item	Once per battle when the holder uses a Move with the volcal Property Wax 1	20000
Utility Unbrella	Held Item	Holder is immune to Rain, Heavy Rain, Harsh Sunlight, and Extremly Harsh Sunlight	15000
Wide Lens	Held Item	Holders Moves gain Accurate 1 if they already have Accurate increase its rank by 1	20000
Zoom Lens	Held Item	If the target of the Holders Move check has already gone this round the Move gains Accurate 2 if they already have Accurate increase its rank by 2	10000
TM001	TM	Take Down	2000
TM002	TM	Charm	2000
TM003	TM	Fake Tears	2000
TM004	TM	Agility	4000
TM005	TM	Mud-Slap	1000
TM006	TM	Scary Face	2000
TM007	TM	Protect	2000
TM008	TM	Fire Fang	4000
TM009	TM	Thunder Fang	4000
TM010	TM	Ice Fang	4000
TM011	TM	Water Pulse	7500
TM012	TM	Low Kick	2000
TM013	TM	Acid Spray	4000
TM014	TM	Acrobatics	15000
TM015	TM	Struggle Bug	2000
TM016	TM	Psybeam	4000
TM017	TM	Confuse Ray	2000
TM018	TM	Theif	15000
TM019	TM	Disarming Voice	1000
TM020	TM	Trailblaze	4000
TM021	TM	Pounce	4000
TM022	TM	Chilling Water	15000
TM023	TM	Charge Beam	4000
TM024	TM	Fire Spin	4000
TM025	TM	Facade	25000
TM026	TM	Poison Tail	4000
TM027	TM	Aerial Ace	4000
TM028	TM	Bulldoze	7500
TM029	TM	Hex	15000
TM030	TM	Snarl	4000
TM031	TM	Metal Claw	2000
TM032	TM	Swift	1000
TM033	TM	Magical Leaf	7500
TM034	TM	Icy Wind	4000
TM035	TM	Mud Shot	4000
TM036	TM	Rock Tomb	7500
TM037	TM	Draining Kiss	4000
TM038	TM	Flame Charge	4000
TM039	TM	Low Sweep	15000
TM040	TM	Air Cutter	2000
TM041	TM	Stored Power	4000
TM042	TM	Night Shade	2000
TM043	TM	Fling	15000
TM044	TM	Dragon Tail	7500
TM045	TM	Venoshock	15000
TM046	TM	Avalanche	7500
TM047	TM	Endure	1000
TM048	TM	Volt Switch	15000
TM049	TM	Sunny Day	15000
TM050	TM	Rain Dance	15000
TM051	TM	Sandstorm	15000
TM052	TM	Snowscape	15000
TM053	TM	Smart Strike	15000
TM054	TM	Psyshock	25000
TM055	TM	Dig	25000
TM056	TM	Bullet Seed	15000
TM057	TM	False Swipe	2000
TM058	TM	Brick Break	25000
TM059	TM	Zen Headbutt	25000
TM060	TM	U-Turn	15000
TM061	TM	Shadow Claw	15000
TM062	TM	Foul Play	15000
TM063	TM	Psychic Fangs	50000
TM064	TM	Bulk Up	15000
TM065	TM	Air Slash	25000
TM066	TM	Body Slam	25000
TM067	TM	Fire Punch	25000
TM068	TM	Thunder Punch	25000
TM069	TM	Ice Punch	25000
TM070	TM	Sleep Talk	2000
TM071	TM	Seed Bomb	40000
TM072	TM	Electro Ball	25000
TM073	TM	Drain Punch	40000
TM074	TM	Reflect	4000
TM075	TM	Light Screen	4000
TM076	TM	Rock Blast	15000
TM077	TM	Waterfall	40000
TM078	TM	Dragon Claw	40000
TM079	TM	Dazzling Gleam	40000
TM080	TM	Metronome	2000
TM081	TM	Grass Knot	15000
TM082	TM	Thunder Wave	2000
TM083	TM	Poison Jab	25000
TM084	TM	Stomping Tantrum	25000
TM085	TM	Rest	2000
TM086	TM	Rock Slide	25000
TM087	TM	Taunt	15000
TM088	TM	Swords Dance	25000
TM089	TM	Body Press	40000
TM090	TM	Spikes	15000
TM091	TM	Toxic Spikes	15000
TM092	TM	Imprison	15000
TM093	TM	Flash Cannon	40000
TM094	TM	Dark Pulse	40000
TM095	TM	Leech Life	40000
TM096	TM	Eerie Impulse	2000
TM097	TM	Fly	25000
TM098	TM	Skill Swap	15000
TM099	TM	Iron Head	40000
TM100	TM	Dragon Dance	25000
TM101	TM	Power Gem	40000
TM102	TM	Gunk Shot	25000
TM103	TM	Substitute	25000
TM104	TM	Iron Defense	7500
TM105	TM	X-Scissor	25000
TM106	TM	Drill Run	40000
TM107	TM	Will-O-Wisp	15000
TM108	TM	Crunch	40000
TM109	TM	Trick	25000
TM110	TM	Liquidation	50000
TM111	TM	Giga Drain	40000
TM112	TM	Aura Sphere	40000
TM113	TM	Tailwind	25000
TM114	TM	Shadow Ball	40000
TM115	TM	Dragon Pulse	40000
TM116	TM	Stealth Rock	25000
TM117	TM	Hyper Voice	40000
TM118	TM	Heat Wave	50000
TM119	TM	Energy Ball	50000
TM120	TM	Psychic	50000
TM121	TM	Heavy Slam	25000
TM122	TM	Encore	15000
TM123	TM	Surf	50000
TM124	TM	Ice Spinner	40000
TM125	TM	Flamethrower	50000
TM126	TM	Thunderbolt	50000
TM127	TM	Play Rough	50000
TM128	TM	Amnesia	7500
TM129	TM	Calm Mind	15000
TM130	TM	Helping Hand	2000
TM131	TM	Pollen Puff	50000
TM132	TM	Baton Pass	15000
TM133	TM	Earth Power	50000
TM134	TM	Reversal	15000
TM135	TM	Ice Beam	50000
TM136	TM	Electric Terrain	15000
TM137	TM	Grassy Terrain	15000
TM138	TM	Psychic Terrain	15000
TM139	TM	Misty Terrain	15000
TM140	TM	Nasty Plot	25000
TM141	TM	Fire Blast	60000
TM142	TM	Hydro Pump	60000
TM143	TM	Blizzard	60000
TM144	TM	Fire Pledge	40000
TM145	TM	Water Pledge	40000
TM146	TM	Grass Pledge	40000
TM147	TM	Wild Charge	50000
TM148	TM	Sludge Bomb	50000
TM149	TM	Earthquake	60000
TM150	TM	Stone Edge	60000
TM151	TM	Phantom Force	50000
TM152	TM	Giga Impact	70000
TM153	TM	Blast Burn	70000
TM154	TM	Hydro Cannon	70000
TM155	TM	Frenzy Plant	70000
TM156	TM	Outrage	60000
TM157	TM	Overheat	60000
TM158	TM	Focus Blast	60000
TM159	TM	Leaf Storm	60000
TM160	TM	Hurricane	60000
TM161	TM	Trick room	25000
TM162	TM	Bug Buzz	50000
TM163	TM	Hyper Beam	70000
TM164	TM	Brave Bird	60000
TM165	TM	Flare Blitz	60000
TM166	TM	Thunder	60000
TM167	TM	Close Combat	60000
TM168	TM	Solar Beam	60000
TM169	TM	Draco Meteor	70000
TM170	TM	Steel Beam	70000
Adaptability	Ability	STAB Moves gain an additional advantage	0
Aerilate	Ability	Normal Type moves used within short range become Flying Type instead	0
Aftermath	Ability	When you feint if it was caused by a Move with range of engaged the user suffers 4 wounds	0
Air Lock	Ability	Battlefield Effects are negated	0
Analytic	Ability	If you are last to take a turn in the round increase your Moves base damage by 2	0
Anger Point	Ability	If a triumph or despair is used against you Hone 6	0
Anger Shell	Ability	While your wounds are above half your wound threshold gain Hone 1, Wax 1, Haste 1, Erode 1, Discourage 1	0
Anticipation	Ability	You know if an enemy has a Move that you are weak to	0
Arena Trap	Ability	Grounded enemies engaged with you gain Trapped condition	0
Armor Tail	Ability	When you are targeted by a Move with the Quickness Property the Move fails without a roll.	0
Aroma Veil	Ability	You are immune to the following conditions when they are caused by enemies: Locked In, Locked Out, Incurable. And the Infatuated Status Effect.	0
As One	Ability	You die	0
Aura Break	Ability	Enemies within medium range with either Fairy Aura or Dark Aura loose the effects of those abilities and also their fairy or fdark type moves have their base damage lowerd by 2	0
Bad Dreams	Ability	At the end of each round enemies engaged with you that are asleep suffer 2 wounds	0
Ball Fetch	Ability	If you are the active Poke your trainer does not lose their balls on failed capture attempts	0
Battery	Ability	Allies in melee range gain Wax 1	0
Battle Armor	Ability	Triumphs and Despairs rolled by others cannot be used against you	0
Battle Bond	Ability	Once per battle if you cause another Poke to feint gain Hone 1, Wax 1, Haste 1	0
Beads of Ruin	Ability	Other Pokes within medium range suffer Discourage 1	0
Beast Boost	Ability	The first time each battle you cause a Poke to feint choose either Hone 1, Wax 1, Haste 1, Encourage 1, or Fortify 1 and gain that effect. Each time you cause another Poke to feint gain the chosen effect again. 	0
Berserk	Ability	Each time you wounds increase past half your wound threshold gain Wax 1	0
Big Pecks	Ability	You are immune to Erode property from other Pokes	0
Blaze	Ability	While your wounds are above half your wound threshold the base damage of Fire Type Moves is 2 higher	0
Bulletproof	Ability	You are immune to Moves is the Projectile Property	0
Cheek Pouch	Ability	Heal 5 wounds when you consume a berry	0
Chilling Neigh	Ability	If you cause another Poke to feint gain Hone 1	0
Chlorophyll	Ability	In Harsh Sunlight or Extremely Harsh Sunlight gain Haste 2	0
Clear Body	Ability	You are immune to Dull, Wane, Slow, Erode, and Discourage caused by other Pokes	0
Cloud Nine	Ability	When you enter the battlefield Weather becomes Calm Skys	0
Color Change	Ability	When you suffer wounds from a Move used by another Poke your Type changes to match that Move.	0
Comatose	Ability	You have permanant Sleep Status Effect. All your Moves gain the Sleepwalk Property	0
Commander	Ability	You die	0
Competitive	Ability	When you suffer from Dull, Wane, Slow, Erode, or Discourage caused by other Pokes gain Wax 2	0
Compound Eyes	Ability	Your Moves gain Accurate 3 if they already have Accurate increase the rank by 3	0
Contrary	Ability	Hone, Wax, Haste, Encourage, Fortify, Dull, Wane, Slow, Erode, and Discourage used on you do the opposite of what they normally do	0
Corrosion	Ability	You can Give the Poison Status Effect to Pokes that are immune to Poison 	0
Costar	Ability	When you enter the battlefiled Copy the Stat bonuses and negitives of one ally	0
Cotton Down	Ability	When you suffer wounds from another Poke's Move all other Pokes in Medium range suffer Slow 1	0
Cud Chew	Ability	When you use a berry you gain the effects again at the end of your next turn	0
Curious Medicine	Ability	All allies Stats are reset to normal	0
Cursed body	Ability	You may use 2 disadvantages on Moves used against you to give the Move Locked-out 4	0
Cute Charm	Ability	You may use 2 disadvantages on Moves used against you within short range to give the use Infatuated as long as it is the opposite gender	0
Damp	Ability	Pokes within medium long cannot gain the benifits of the Aftermath Ability. And If they use Self-Destruct, Explosion, Mind Blown, or Misty Explosion they fail without a check.	0
Dancer	Ability	When another Poke within Medium range uses a Move with the Dancing Property you may immediatly use that move as well as an out of turn incedental.	0
Dark Aura	Ability	Base damge of Dark Type Moves used within medium range of you is increased by 2.	0
Dauntless Shield	Ability	Once per battle when you enter the battlefield Fortify 1	0
Dazzling	Ability	When you are targeted by a Move with the Quickness Property the Move fails without a roll.	0
Defeatist	Ability	While you wounds are equal to or greater than holf you wound threshhold suffer Dull 2 and Wane 2	0
Defiant	Ability	When you suffer from Dull, Wane, Slow, Erode, or Discourage caused by other Pokes gain Hone 2	0
Delta Stream	Ability	When you enter the battlefield Weather becomes Strong Winds	0
Desolate Land	Ability	When you enter the battlefield Weather becomes Extremly Harsh Sunlight	0
Disguise	Ability	The first time you would suffer wounds each battle you instead do not. Excluding battlefield effects.	0
Download	Ability	Once per battle when you enter the battle field choose gain either Hone 1 or Wax 1	0
Dragon's Maw	Ability	Increase the base damage of Dragon Type Moves by 2	0
Drizzle	Ability	When you enter the battlefield Weather becomes Rain	0
Drought	Ability	When you enter the battlefield Weather becomes Harsh Sunlight	0
Dry Skin	Ability	When you would suffer wounds from a Fire Type Move you suffer 2 additional. If a water Type Move is sucessfully used against you you suffer no wounds and instead heal 4 wounds. In Harsh sunlight and Extremely Harsh Sunlight you suffer 2 wounds at the end of each round. In Rain and Heavy Rain you heal 2 wounds at the end of each round.	0
Early Bird	Ability	When making a Status Effect check to recover from sleep downgrade the difficulty of the check twice and if you succeed remove the condition and take your turn as if you did not have it at the start of your turn.	0
Earth Eater	Ability	If a Ground Type Move is sucessfully used against you you suffer no wounds and instead heal 4 wounds.	0
Effect Spore	Ability	Your engaged range Moves gain the Poison, Paralyze, and Sleep Properties	0
Electric Surge	Ability	When you enter the battlefield Terrain becomes Electric	0
Electromorphosis	Ability	Each time you are the target of a successful Move check you gain the Electrified condition	0
Emergency Exit	Ability	The first time each battle that your wounds increase past half your wound threshold you can swap out as an out of turn incedental. If you are a wild Poke you instead leave the battle.	0
Fairy Aura	Ability	Base damge of fairy Type Moves used within medium range of you is increased by 2.	0
Filter	Ability	Moves you are weak to deal half as much extra damage as they usually would rounded down	0
Flame Body	Ability	You may use 2 disadvantages on Moves used against you in engaged range to give the user the Burn Status Effect	0
Flare Boost	Ability	While you have the Burned condition base damage of all Arcane Moves is increased by 2	0
Flash Fire	Ability	If a Fire Type Move is sucessfully used against you you suffer no wounds and instead increase the base damage of you Fire Type Moves by 2 for the rest of the battle this effect does not stack.	0
Flower Gift	Ability	Durring Harsh Sunlight and Extremly Harsh Sunlight you gain Hone 1 and Encourage 1	0
Flower Veil	Ability	Allied Grass Type Pokes within medium range gain the Insolated conddition and are immune to Dull, Wane, Slow, Erode, and Discourage caused by other Pokes, and if targeted by Yawn it fails without a roll.	0
Fluffy	Ability	Gain weakness to Fire Type Moves. Gain resistance to moves with range of engaged.	0
